#time	step	cpu	threads
4461	0	3	28
7172	1	0	24
8267	1	8	28
9335	2	3	28
10411	4	3	28
11503	5	2	28
12647	6	2	28
13709	7	1	28
14808	8	1	28
15935	9	2	29
17015	10	1	29
18124	11	1	29
19221	12	2	29
20342	13	1	29
21440	14	2	29
22532	15	1	29
23661	17	2	29
24753	18	1	29
25837	19	1	29
26914	19	1	29
27979	20	1	29
29066	21	1	29
30177	22	1	29
31285	23	1	29
32353	24	1	29
33439	25	2	29
34580	26	2	29
35678	27	2	29
36765	29	2	29
37852	30	1	29
38949	31	1	29
40062	32	1	29
41130	33	1	29
42197	34	1	29
43339	35	1	29
44450	36	1	29
45522	37	1	29
46596	38	1	29
47673	39	2	29
48764	40	1	29
49843	41	2	29
50953	42	1	29
52047	43	1	29
53155	44	1	29
54309	45	2	29
55380	46	1	29
56460	47	1	29
57615	48	1	29
58707	49	2	29
59819	50	16	29
60916	51	19	29
61992	52	22	29
63101	53	15	30
64183	53	14	30
65278	54	12	31
66403	55	13	31
67487	58	11	31
68586	59	11	31
69736	59	11	31
70843	60	10	31
71973	61	10	31
73118	62	10	31
74318	62	10	31
75419	63	10	31
76514	64	10	31
77614	65	9	31
78711	66	9	31
79803	67	10	31
80903	68	9	31
81998	69	10	31
83093	70	10	31
84210	71	10	31
85276	72	10	31
86370	73	9	31
87464	73	9	31
88602	74	8	31
89750	74	9	31
90920	75	9	31
92065	75	9	31
93254	76	10	31
94392	77	11	31
95561	77	10	31
96672	78	10	31
97809	79	11	31
98949	80	11	31
100083	80	11	31
101225	81	11	31
102368	82	10	31
103446	82	11	31
104580	83	10	31
105670	84	10	31
106819	84	11	31
107988	85	11	31
109113	85	11	31
110207	86	11	31
111367	87	10	31
112451	88	9	31
113552	88	10	31
114651	89	11	31
115804	90	10	31
116946	91	9	31
118055	91	10	31
119164	92	8	31
120245	93	2	31
121352	94	5	31
122523	95	10	31
123615	95	10	31
124730	96	9	31
125823	97	10	31
126923	98	9	31
128055	99	9	31
129168	99	8	31
130263	100	9	31
131372	101	9	31
132454	102	9	31
133560	103	9	31
134652	103	11	31
135746	104	10	31
136839	105	10	31
137931	106	10	31
139040	107	9	31
140116	108	10	31
141271	108	10	31
142414	109	9	31
143542	110	10	31
144756	110	9	31
145945	111	10	31
147089	112	10	31
148228	112	10	31
149355	113	10	31
150481	114	10	31
151626	115	11	31
152812	115	11	31
153921	116	11	31
155001	117	11	31
156173	118	10	31
157295	118	10	31
158406	119	9	31
159499	120	10	31
160606	121	11	31
161742	121	11	31
162914	122	12	31
164027	123	12	31
165151	123	11	31
166275	124	11	31
167401	125	11	31
168481	126	10	31
169575	126	11	31
170690	127	11	31
171814	128	9	31
172906	129	9	31
174018	129	10	31
175130	130	10	31
176227	131	11	31
177338	132	9	31
178429	132	10	31
179534	133	10	31
180644	134	9	31
181709	135	10	31
182827	136	10	31
183970	136	9	31
185153	137	10	31
186248	137	9	31
187436	137	10	31
188555	138	10	31
189698	138	10	31
190845	139	10	31
191952	140	10	31
193144	140	11	31
194268	141	10	31
195363	142	9	31
196462	143	9	31
197573	144	9	31
198682	144	10	31
199775	145	9	31
200882	146	9	31
201988	147	10	31
203118	148	10	31
204219	149	11	31
205309	149	10	31
206391	150	11	31
207488	151	11	31
208569	152	10	31
209681	152	9	31
210772	153	9	31
211856	154	9	31
212947	155	9	31
214049	156	10	31
215160	156	10	31
216271	157	11	31
217401	158	10	31
218514	158	9	31
219602	159	10	31
220668	160	10	31
221773	161	9	31
222881	162	8	31
223990	163	9	31
225098	164	10	31
226227	164	11	31
227357	165	10	31
228487	166	11	31
229567	167	10	31
230662	167	10	31
231788	168	10	31
232878	169	10	31
233961	170	10	31
235058	171	9	31
236135	171	10	31
237242	172	9	31
238324	173	9	31
239477	174	11	31
240654	175	10	31
241784	175	10	31
242875	176	11	31
243989	177	10	31
245092	178	11	31
246198	178	9	31
247278	179	11	31
248390	180	10	31
249513	181	10	31
250654	181	9	31
251738	182	10	31
252835	183	10	31
253923	184	11	31
255029	184	11	31
256139	185	9	31
