#time	step	type	freed	heap_used	heap_size	percent	paused	total_time
3571	0	Explicit concurrent copying	185	2048	2048	 24	0.059	51.018
4462	0	Explicit concurrent copying	160	2048	2048	 25	0.061	47.806
13208	6	Explicit concurrent copying	22	2048	3072	 24	0.067	33.748
15638	9	Explicit concurrent copying	155	 1646	3072	 50	0.082	51.691
16202	9	Explicit concurrent copying	304	 2047	3072	 50	0.08	24.447
16607	10	Explicit concurrent copying	198	2048	4096	 49	0.05	27.545
16954	10	Explicit concurrent copying	175	2048	4096	 49	0.239	21.828
17795	11	Explicit concurrent copying	159	2048	4096	 50	0.042	31.693
18126	11	Explicit concurrent copying	159	2048	4096	 49	0.082	39.971
18756	12	Explicit concurrent copying	191	2048	4096	 49	0.052	21.712
18985	12	Explicit concurrent copying	176	2048	4096	 49	0.045	21.395
19468	12	Explicit concurrent copying	191	2048	4096	 49	0.044	23.571
19922	13	Explicit concurrent copying	176	2048	4096	 50	0.046	21.826
20201	13	Explicit concurrent copying	160	2048	4096	 50	0.127	31.825
20544	13	Explicit concurrent copying	159	2048	4096	 49	0.09	107.669
20920	14	Explicit concurrent copying	160	2048	4096	 50	0.048	26.620
21518	14	Explicit concurrent copying	160	2048	4096	 50	0.053	22.127
21784	15	Explicit concurrent copying	175	2048	4096	 49	0.051	23.359
22642	15	Explicit concurrent copying	160	2048	4096	 50	0.047	23.457
23600	16	Explicit concurrent copying	175	2048	4096	 49	0.088	54.576
24504	17	Explicit concurrent copying	160	2048	4096	 49	0.043	20.268
25492	18	Explicit concurrent copying	144	2048	4096	 49	0.043	20.266
30240	22	Explicit concurrent copying	159	2048	4096	 50	0.042	22.406
31222	23	Explicit concurrent copying	144	2048	4096	 49	0.051	22.604
36830	29	Explicit concurrent copying	159	2048	4096	 49	0.06	37.016
37883	30	Explicit concurrent copying	144	2048	4096	 49	0.059	22.400
38198	30	Explicit concurrent copying	144	2048	4096	 49	0.047	21.810
38636	30	Explicit concurrent copying	159	2048	4096	 49	0.048	23.635
38903	31	Explicit concurrent copying	144	2048	4096	 49	0.048	28.568
39276	31	Explicit concurrent copying	175	2048	4096	 49	0.058	27.820
39653	31	Explicit concurrent copying	144	2048	4096	 49	0.052	29.855
39952	31	Explicit concurrent copying	160	2048	4096	 49	0.049	26.392
40314	32	Explicit concurrent copying	159	2048	4096	 49	0.089	55.400
40661	32	Explicit concurrent copying	160	2048	4096	 49	0.044	24.811
40913	32	Explicit concurrent copying	160	2048	4096	 49	0.129	26.966
41209	33	Explicit concurrent copying	175	2048	4096	 49	0.042	20.045
41850	33	Explicit concurrent copying	160	2048	4096	 49	0.053	25.138
42150	34	Explicit concurrent copying	175	2048	4096	 49	0.081	25.559
42729	34	Explicit concurrent copying	160	2048	4096	 49	0.055	28.812
43773	35	Explicit concurrent copying	159	2048	4096	 49	0.044	21.202
45333	36	Explicit concurrent copying	175	2048	4096	 49	0.05	37.079
45913	37	Explicit concurrent copying	160	2048	4096	 49	0.047	22.357
54482	45	Explicit concurrent copying	175	2048	4096	 49	0.048	24.039
54737	45	Explicit concurrent copying	160	2048	4096	 49	0.046	22.804
55086	46	Explicit concurrent copying	160	2048	4096	 49	0.053	21.427
55662	46	Explicit concurrent copying	175	2048	4096	 49	0.054	23.108
55960	47	Explicit concurrent copying	159	2048	4096	 50	0.049	23.168
56318	47	Explicit concurrent copying	175	2048	4096	 49	0.068	54.851
56680	47	Explicit concurrent copying	160	2048	4096	 50	0.051	25.569
57009	47	Explicit concurrent copying	160	2048	4096	 50	0.111	38.502
57584	48	Explicit concurrent copying	175	2048	4096	 49	0.074	56.241
57887	48	Explicit concurrent copying	160	2048	4096	 49	0.128	33.464
58218	49	Explicit concurrent copying	175	2048	4096	 49	0.057	32.275
58487	49	Explicit concurrent copying	144	2048	4096	 49	0.051	22.219
58945	49	Explicit concurrent copying	180	2048	4096	 49	0.043	23.915
61868	52	Explicit concurrent copying	506	2048	4096	 49	0.082	48.647
63447	53	Explicit concurrent copying	340	2048	4096	 49	0.057	39.022
65323	54	Explicit concurrent copying	402	2048	4096	 49	0.175	55.312
68896	59	Explicit concurrent copying	534	2048	4096	 49	0.078	61.442
70110	60	Explicit concurrent copying	303	2048	4096	 50	0.076	47.787
72273	61	Explicit concurrent copying	329	2048	4096	 49	0.141	67.476
73976	62	Explicit concurrent copying	397	2048	4096	 49	0.062	43.674
75890	64	Explicit concurrent copying	398	2048	4096	 49	0.045	34.701
78601	66	Explicit concurrent copying	447	2048	4096	 50	0.89	93.093
81435	68	Explicit concurrent copying	369	2048	4096	 49	1.134	54.762
86354	73	Explicit concurrent copying	402	2048	4096	 50	0.048	42.682
94143	76	Explicit concurrent copying	431	2048	4096	 50	0.074	95.307
98028	79	Explicit concurrent copying	416	2048	4096	 49	0.48	75.679
101912	81	Explicit concurrent copying	432	2048	4096	 50	0.537	134.110
104826	83	Explicit concurrent copying	383	2048	4096	 50	0.202	89.460
106774	84	Explicit concurrent copying	399	2048	4096	 50	0.532	46.367
109304	85	Explicit concurrent copying	432	2048	4096	 50	0.065	72.050
111161	87	Explicit concurrent copying	400	2048	4096	 50	0.048	34.656
113318	88	Explicit concurrent copying	432	2048	4096	 49	0.088	40.434
115417	90	Explicit concurrent copying	432	2048	4096	 50	0.054	53.678
