#time	sec	step	log_time	priority	tag	pid	log
3700	1	0	2022-01-13 12:22:55.600000	I	sysui_multi_action	1118	[757,1093,758,4,793,14182,1094,738721792,1095,4]
3872	1	0	2022-01-13 12:22:55.772000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
3943	1	0	2022-01-13 12:22:55.843000	I	notification_enqueue	977	[10285,1952,com.fancyclean.security.antivirus,180702,NULL,0,Notification(channel=toolbar pri=-2 contentView=com.fancyclean.security.antivirus/0x7f0c0140 vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=SECRET),1]
5115	2	0	2022-01-13 12:22:57.015000	I	sysui_multi_action	1118	[757,1093,758,4,793,1415,1094,738721792,1095,4]
5424	1	1	2022-01-13 12:22:57.324000	I	am_uid_stopped	977	10274
5424	2	1	2022-01-13 12:22:57.324000	I	am_kill	977	[0,28823,com.example.test_one,700,stop com.example.test_one]
5432	3	1	2022-01-13 12:22:57.332000	I	am_finish_activity	977	[0,152222668,44866,com.example.test_one/.MainActivity,force-stop]
5441	4	1	2022-01-13 12:22:57.341000	I	am_finish_activity	977	[0,90470092,44866,com.example.test_one/.Gravity_detector,force-stop]
5447	5	1	2022-01-13 12:22:57.347000	I	sysui_count	977	[window_time_0,6]
5447	6	1	2022-01-13 12:22:57.347000	I	sysui_multi_action	977	[757,803,799,window_time_0,802,6]
5448	7	1	2022-01-13 12:22:57.348000	I	sysui_count	977	[window_time_0,0]
5448	8	1	2022-01-13 12:22:57.348000	I	sysui_multi_action	977	[757,803,799,window_time_0,802,0]
5452	9	1	2022-01-13 12:22:57.352000	I	am_destroy_activity	977	[0,152222668,44866,com.example.test_one/.MainActivity,finish-idle]
5458	10	1	2022-01-13 12:22:57.358000	I	am_destroy_activity	977	[0,90470092,44866,com.example.test_one/.Gravity_detector,finish-idle]
5470	11	1	2022-01-13 12:22:57.370000	I	wm_task_removed	977	[44866,removeAppToken: last token]
5472	12	1	2022-01-13 12:22:57.372000	I	wm_task_removed	977	[44866,removeTask]
5477	13	1	2022-01-13 12:22:57.377000	I	notification_cancel_all	977	[1000,977,com.example.test_one,0,0,0,5,NULL]
5698	1	1	2022-01-13 12:22:57.598000	I	wm_task_created	977	[44867,1]
5699	2	1	2022-01-13 12:22:57.599000	I	wm_task_moved	977	[44867,1,5]
5699	3	1	2022-01-13 12:22:57.599000	I	am_focused_stack	977	[0,1,0,reuseOrNewTask]
5700	4	1	2022-01-13 12:22:57.600000	I	wm_task_moved	977	[44867,1,5]
5701	5	1	2022-01-13 12:22:57.601000	I	am_create_task	977	[0,44867]
5701	6	1	2022-01-13 12:22:57.601000	I	am_create_activity	977	[0,76576014,44867,com.example.test_one/.MainActivity,NULL,NULL,NULL,268435456]
5704	7	1	2022-01-13 12:22:57.604000	I	wm_task_moved	977	[44867,1,5]
5707	8	1	2022-01-13 12:22:57.607000	I	am_pause_activity	977	[0,143933751,com.android.launcher3/com.android.searchlauncher.SearchLauncher]
5724	9	1	2022-01-13 12:22:57.624000	I	auditd	10497	type=1400 audit(0.0:3435): avc: denied { search } for comm="screencap" name="clients" dev="debugfs" ino=7920 scontext=u:r:shell:s0 tcontext=u:object_r:debugfs_ion:s0 tclass=dir permissive=0
5736	10	1	2022-01-13 12:22:57.636000	I	am_on_paused_called	1781	[0,com.android.searchlauncher.SearchLauncher,handlePauseActivity]
5744	11	1	2022-01-13 12:22:57.644000	I	am_uid_running	977	10274
5777	12	1	2022-01-13 12:22:57.677000	I	am_proc_start	977	[0,10516,10274,com.example.test_one,activity,com.example.test_one/.MainActivity]
5786	13	1	2022-01-13 12:22:57.686000	I	sysui_count	977	[window_time_0,0]
5787	14	1	2022-01-13 12:22:57.687000	I	sysui_multi_action	977	[757,803,799,window_time_0,802,0]
5956	1	1	2022-01-13 12:22:57.856000	I	am_proc_bound	977	[0,10516,com.example.test_one]
5973	2	1	2022-01-13 12:22:57.873000	I	am_uid_active	977	10274
5974	3	1	2022-01-13 12:22:57.874000	I	am_restart_activity	977	[0,76576014,44867,com.example.test_one/.MainActivity]
5980	4	1	2022-01-13 12:22:57.880000	I	am_set_resumed_activity	977	[0,com.example.test_one/.MainActivity,minimalResumeActivityLocked]
6703	1	1	2022-01-13 12:22:58.603000	I	sysui_multi_action	1118	[757,1093,758,4,793,1588,1094,738721792,1095,4]
