#time	sec	step	log_time	priority	tag	pid	log
1423	1	0	2022-01-13 12:22:53.323000	W	ActivityManager	977	Missing app error report, app = com.fancyclean.security.antivirus crashing = false notResponding = true
1423	2	0	2022-01-13 12:22:53.323000	W	ActivityManager	977	Missing app error report, app = com.android.phone crashing = false notResponding = true
1637	1	0	2022-01-13 12:22:53.537000	I	ActivityManager	977	Start proc 10114:com.zhiliaoapp.musically/u0a251 for content provider com.zhiliaoapp.musically/com.bytedance.apm.battery.dao.MonitorContentProvider
1925	1	0	2022-01-13 12:22:53.825000	W	ActivityManager	977	Missing app error report, app = com.fancyclean.security.antivirus crashing = false notResponding = true
1925	2	0	2022-01-13 12:22:53.825000	W	ActivityManager	977	Missing app error report, app = com.android.phone crashing = false notResponding = true
2426	1	0	2022-01-13 12:22:54.326000	W	ActivityManager	977	Missing app error report, app = com.fancyclean.security.antivirus crashing = false notResponding = true
2427	2	0	2022-01-13 12:22:54.327000	W	ActivityManager	977	Missing app error report, app = com.android.phone crashing = false notResponding = true
2499	1	0	2022-01-13 12:22:54.399000	W	WindowManager	977	removeWindowToken: Attempted to remove non-existing token: android.os.Binder@9df0967
2501	2	0	2022-01-13 12:22:54.401000	W	WindowManager	977	removeWindowToken: Attempted to remove non-existing token: android.os.Binder@c86e926
2511	3	0	2022-01-13 12:22:54.411000	W	WindowManager	977	removeWindowToken: Attempted to remove non-existing token: android.os.Binder@4485868
2515	4	0	2022-01-13 12:22:54.415000	W	WindowManager	977	removeWindowToken: Attempted to remove non-existing token: android.os.Binder@62d8481
2929	1	0	2022-01-13 12:22:54.829000	W	ActivityManager	977	Missing app error report, app = com.fancyclean.security.antivirus crashing = false notResponding = true
2929	2	0	2022-01-13 12:22:54.829000	W	ActivityManager	977	Missing app error report, app = com.android.phone crashing = false notResponding = true
3432	1	0	2022-01-13 12:22:55.332000	W	ActivityManager	977	Missing app error report, app = com.fancyclean.security.antivirus crashing = false notResponding = true
3432	2	0	2022-01-13 12:22:55.332000	W	ActivityManager	977	Missing app error report, app = com.android.phone crashing = false notResponding = true
3798	1	0	2022-01-13 12:22:55.698000	W	WindowManager	977	removeWindowToken: Attempted to remove non-existing token: android.os.Binder@6903cee
3933	1	0	2022-01-13 12:22:55.833000	W	ActivityManager	977	Missing app error report, app = com.fancyclean.security.antivirus crashing = false notResponding = true
3933	2	0	2022-01-13 12:22:55.833000	W	ActivityManager	977	Missing app error report, app = com.android.phone crashing = false notResponding = true
4434	1	0	2022-01-13 12:22:56.334000	W	ActivityManager	977	Missing app error report, app = com.fancyclean.security.antivirus crashing = false notResponding = true
