#time	step	pss	shared_dirty	private_dirty	heap_size	heap_alloc	heap_free	native_pss	native_shared_dirty	native_private_dirty	native_heap_size	native_heap_alloc	native_heap_free	dalvik_pss	dalvik_shared_dirty	dalvik_private_dirty	dalvik_heap_size	dalvik_heap_alloc	dalvik_heap_free
2160	0	43520		16284	19449	10429	9019	5713		5568	16384	8130	8253	4120		3848	3065	2299	766
3176	0	42891		15872	19437	10412	9024	5713		5568	16384	8122	8261	3672		3420	3053	2290	763
4180	0	43015		15860	19436	10416	9019	5713		5568	16384	8127	8256	3660		3408	3052	2289	763
5195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7219	1	52011		40735	17628	11492	6135	5663		5616	14336	9846	4489	1733		1708	3292	1646	1646
8220	1	48546		36571	18430	12182	6247	6659		6616	14336	10135	4200	2665		2412	4094	2047	2047
9226	2	48301		36295	18449	11987	6461	6669		6628	14336	9930	4405	2616		2364	4113	2057	2056
10241	4	48566		36299	18449	11988	6460	6669		6628	14336	9931	4404	2620		2368	4113	2057	2056
11252	5	48621		36459	18482	12045	6436	6673		6632	14336	9972	4363	2768		2516	4146	2073	2073
12265	6	48903		36403	18451	12030	6420	6673		6632	14336	9972	4363	2712		2460	4115	2058	2057
13272	7	48892		36427	18452	12031	6420	6673		6632	14336	9973	4362	2732		2480	4116	2058	2058
14275	7	48644		36463	18452	12180	6271	6709		6668	14336	10122	4213	2720		2468	4116	2058	2058
15277	9	48790		36631	18453	12182	6270	6713		6672	14336	10123	4212	2884		2632	4117	2059	2058
16280	9	48937		36515	18453	12218	6234	6713		6672	14336	10159	4176	2756		2504	4117	2059	2058
17282	10	49074		36519	18453	12220	6232	6713		6672	14336	10161	4174	2760		2508	4117	2059	2058
18297	11	49087		36515	18454	12221	6232	6713		6672	14336	10162	4173	2756		2504	4118	2059	2059
19313	12	49073		36507	18453	12220	6232	6713		6672	14336	10161	4174	2748		2496	4117	2059	2058
20328	13	49080		36511	18453	12221	6231	6713		6672	14336	10162	4173	2752		2500	4117	2059	2058
21343	14	49085		36523	18454	12220	6233	6713		6672	14336	10161	4174	2764		2512	4118	2059	2059
22345	15	49064		36511	18453	12217	6235	6713		6672	14336	10158	4177	2752		2500	4117	2059	2058
23346	16	49085		36531	18454	12223	6230	6713		6672	14336	10164	4171	2772		2520	4118	2059	2059
24361	17	48743		36535	18454	12214	6239	6729		6688	14336	10155	4180	2760		2508	4118	2059	2059
25365	18	49045		36463	18454	12181	6272	6661		6620	14336	10122	4213	2756		2504	4118	2059	2059
26368	19	48853		36475	18454	12154	6299	6661		6620	14336	10095	4240	2768		2516	4118	2059	2059
27383	19	48844		36463	18453	12097	6355	6661		6620	14336	10038	4297	2756		2504	4117	2059	2058
28390	21	48854		36475	18454	12098	6355	6661		6620	14336	10039	4296	2768		2516	4118	2059	2059
29406	22	48832		36459	18453	12098	6354	6661		6620	14336	10039	4296	2752		2500	4117	2059	2058
30414	22	48837		36463	18453	12097	6355	6661		6620	14336	10038	4297	2756		2504	4117	2059	2058
31428	23	48998		36475	18454	12098	6355	6661		6620	14336	10039	4296	2768		2516	4118	2059	2059
32431	24	48978		36463	18453	12097	6355	6661		6620	14336	10038	4297	2756		2504	4117	2059	2058
33440	25	48985		36467	18454	12096	6357	6661		6620	14336	10037	4298	2760		2508	4118	2059	2059
34454	26	48975		36459	18453	12089	6363	6661		6620	14336	10030	4305	2752		2500	4117	2059	2058
35457	27	48992		36463	18453	12082	6370	6657		6616	14336	10023	4312	2760		2508	4117	2059	2058
36466	28	48981		36471	18454	12068	6385	6657		6616	14336	10009	4326	2768		2516	4118	2059	2059
37472	29	48589		36463	18453	12053	6399	6657		6616	14336	9994	4341	2760		2508	4117	2059	2058
38480	30	48820		36463	18453	12053	6399	6657		6616	14336	9994	4341	2760		2508	4117	2059	2058
39495	31	48594		36475	18454	12052	6401	6657		6616	14336	9993	4342	2772		2520	4118	2059	2059
40509	32	49076		36463	18453	12054	6398	6659		6616	14336	9995	4340	2761		2508	4117	2059	2058
41519	33	49079		36475	18486	12070	6415	6659		6616	14336	9995	4340	2773		2520	4150	2075	2075
42525	34	49075		36463	18453	12053	6399	6659		6616	14336	9994	4341	2761		2508	4117	2059	2058
43541	35	49074		36463	18454	12054	6399	6659		6616	14336	9995	4340	2761		2508	4118	2059	2059
44545	36	49056		36487	18455	12054	6400	6662		6624	14336	9994	4341	2773		2520	4119	2060	2059
45554	37	48982		36475	18455	12052	6402	6662		6624	14336	9992	4343	2760		2508	4119	2060	2059
46564	37	48970		36487	18455	12053	6401	6662		6624	14336	9993	4342	2772		2520	4119	2060	2059
47577	39	48914		36475	18455	12052	6402	6662		6624	14336	9992	4343	2760		2508	4119	2060	2059
48591	39	48918		36475	18455	12052	6402	6662		6624	14336	9992	4343	2760		2508	4119	2060	2059
49605	40	49041		36487	18455	12053	6401	6662		6624	14336	9993	4342	2772		2520	4119	2060	2059
50620	41	49060		36471	18455	12052	6402	6662		6624	14336	9992	4343	2756		2504	4119	2060	2059
51634	42	49120		36531	18456	12210	6245	6706		6668	14336	10150	4185	2772		2520	4120	2060	2060
52647	43	49104		36519	18455	12225	6229	6706		6668	14336	10149	4186	2760		2508	4119	2076	2043
53662	44	49106		36519	18455	12208	6246	6706		6668	14336	10148	4187	2760		2508	4119	2060	2059
54673	45	49132		36543	18456	12213	6242	6710		6672	14336	10153	4182	2780		2528	4120	2060	2060
55679	46	49107		36527	18456	12212	6243	6710		6672	14336	10152	4183	2764		2512	4120	2060	2060
56694	47	49113		36543	18456	12211	6244	6710		6672	14336	10151	4184	2780		2528	4120	2060	2060
57695	48	49095		36527	18456	12213	6242	6710		6672	14336	10153	4182	2764		2512	4120	2060	2060
58707	49	59917		46427	18545	13717	4827	7058		7020	14336	11612	2723	2788		2536	4209	2105	2104
59708	50	88302		61615	21000	15096	5903	9700		9656	16384	12788	3595	4676		4424	4616	2308	2308
60710	51	87064		60475	20992	14928	6063	9852		9808	16384	12624	3759	3384		3132	4608	2304	2304
61724	52	86767		59818	21017	14780	6236	9692		9648	16384	12463	3920	3652		3400	4633	2317	2316
62740	52	87110		60094	21039	14757	6281	9732		9688	16384	12429	3954	3864		3612	4655	2328	2327
63760	53	86621		59970	21008	14732	6275	9716		9672	16384	12420	3963	3752		3500	4624	2312	2312
64760	54	87258		60034	20989	14683	6305	9684		9640	16384	12380	4003	3848		3596	4605	2303	2302
65762	54	87785		60859	21026	14743	6282	9692		9648	16384	12422	3961	3880		3628	4642	2321	2321
66768	56	87168		60186	21062	14900	6161	9712		9668	16384	12561	3822	3940		3688	4678	2339	2339
67782	58	87808		60963	21095	14860	6234	9700		9656	16384	12504	3879	3952		3700	4711	2356	2355
68787	59	88137		61067	21061	14822	6238	9704		9660	16384	12483	3900	4052		3800	4677	2339	2338
69797	59	87210		60246	21025	14841	6183	9712		9668	16384	12520	3863	3988		3736	4641	2321	2320
70811	60	87275		60318	21089	14850	6238	9731		9692	16384	12497	3886	4036		3784	4705	2353	2352
71815	61	87520		61047	21026	14845	6180	9722		9684	16384	12508	3875	4007		3756	4642	2337	2305
72819	62	87756		61083	21090	14866	6223	9738		9700	16384	12513	3870	4025		3776	4706	2353	2353
73821	62	86575		60298	21090	14872	6217	9742		9704	16384	12519	3864	4003		3752	4706	2353	2353
74836	63	87660		61083	21028	14815	6212	9730		9692	16384	12493	3890	4035		3784	4644	2322	2322
75843	64	86899		60326	21059	14844	6214	9714		9676	16384	12506	3877	4059		3808	4675	2338	2337
76856	64	86212		59553	21026	14825	6200	9726		9688	16384	12504	3879	4039		3788	4642	2321	2321
77866	65	86680		60314	21058	14847	6210	9706		9668	16384	12510	3873	4055		3804	4674	2337	2337
78881	66	85876		59593	21026	14790	6235	9734		9696	16384	12469	3914	4071		3820	4642	2321	2321
79897	67	86913		60350	21031	14774	6256	9738		9700	16384	12450	3933	4059		3808	4647	2324	2323
80903	68	86792		60310	21034	14754	6279	9686		9648	16384	12429	3954	4071		3820	4650	2325	2325
81905	69	86622		60298	21031	14775	6255	9686		9648	16384	12451	3932	4059		3808	4647	2324	2323
82904	70	87418		60346	21027	14771	6255	9710		9672	16384	12449	3934	4084		3832	4643	2322	2321
83910	70	87379		60306	21027	14780	6246	9698		9660	16384	12458	3925	4056		3804	4643	2322	2321
84915	71	87503		60342	21027	14786	6240	9706		9668	16384	12464	3919	4084		3832	4643	2322	2321
85929	72	87469		60326	20996	14747	6248	9698		9660	16384	12441	3942	4076		3824	4612	2306	2306
86933	73	86037		59497	21028	14767	6260	9698		9660	16384	12445	3938	4012		3760	4644	2322	2322
87941	74	87735		60987	21028	14796	6231	9702		9664	16384	12458	3925	3967		3716	4644	2338	2306
88942	74	87386		60987	20996	14740	6255	9694		9656	16384	12434	3949	3975		3724	4612	2306	2306
89951	74	87030		60234	21028	14761	6266	9694		9656	16384	12439	3944	3983		3736	4644	2322	2322
90967	75	86720		60298	21028	14931	6096	9710		9672	16384	12609	3774	4035		3784	4644	2322	2322
91971	75	86921		60262	21029	14982	6046	9726		9688	16384	12643	3740	3983		3732	4645	2339	2306
92974	76	87823		61043	21065	14975	6089	9706		9668	16384	12634	3749	4019		3768	4681	2341	2340
93986	76	87201		60322	21034	14953	6080	9718		9680	16384	12628	3755	4051		3800	4650	2325	2325
95003	77	86713		60334	21032	14961	6070	9726		9688	16384	12637	3746	4055		3804	4648	2324	2324
96017	78	86245		59565	21028	14927	6100	9698		9660	16384	12605	3778	4079		3828	4644	2322	2322
97031	78	87094		60342	21028	14931	6096	9690		9652	16384	12609	3774	4099		3848	4644	2322	2322
98043	79	85852		59561	21028	14986	6041	9693		9656	16384	12648	3735	4079		3828	4644	2338	2306
99058	80	86893		60294	21060	14969	6090	9701		9664	16384	12631	3752	4039		3788	4676	2338	2338
100070	80	86552		60302	21062	14969	6092	9697		9660	16384	12630	3753	4051		3800	4678	2339	2339
101083	81	86055		59493	21029	14920	6108	9685		9648	16384	12597	3786	4019		3768	4645	2323	2322
102084	81	86968		60326	21029	14942	6086	9685		9648	16384	12619	3764	4087		3836	4645	2323	2322
103087	82	87891		61663	20996	14944	6051	9701		9664	16384	12622	3761	4643		4392	4612	2322	2290
104090	83	86079		59521	20996	14940	6055	9701		9664	16384	12634	3749	4031		3780	4612	2306	2306
105091	83	86459		60230	20996	14914	6081	9681		9644	16384	12608	3775	3995		3744	4612	2306	2306
106105	84	86774		60310	21035	14945	6089	9689		9652	16384	12619	3764	4067		3816	4651	2326	2325
107115	84	87474		61099	21035	14955	6079	9701		9664	16384	12629	3754	4079		3828	4651	2326	2325
108128	85	86534		60326	21065	14957	6107	9705		9668	16384	12616	3767	4067		3816	4681	2341	2340
109144	85	86095		59513	21060	14971	6088	9693		9656	16384	12633	3750	4031		3780	4676	2338	2338
110160	86	86527		60326	21028	14968	6059	9693		9656	16384	12646	3737	4079		3828	4644	2322	2322
111161	87	86789		60314	20996	14888	6107	9701		9664	16384	12582	3801	4059		3808	4612	2306	2306
112168	88	86092		59541	20996	14867	6128	9701		9664	16384	12561	3822	4051		3800	4612	2306	2306
113177	88	86445		60270	21028	14836	6191	9681		9644	16384	12514	3869	4035		3784	4644	2322	2322
114182	89	87212		61039	20996	14790	6205	9701		9664	16384	12484	3899	4019		3768	4612	2306	2306
115195	89	86821		60274	20996	14777	6218	9693		9656	16384	12471	3912	4027		3776	4612	2306	2306
116209	90	87197		61031	20996	14795	6200	9693		9656	16384	12489	3894	4019		3768	4612	2306	2306
117217	91	86740		60278	20996	14761	6234	9697		9660	16384	12455	3928	4027		3776	4612	2306	2306
118229	91	86078		59529	20996	14770	6225	9709		9672	16384	12464	3919	4031		3780	4612	2306	2306
119243	92	82878		56702	20967	14466	6500	9677		9640	16384	12158	4225	3983		3732	4583	2308	2275
120244	93	73234		46810	20966	14134	6831	9629		9592	16384	11843	4540	3891		3640	4582	2291	2291
121257	94	76715		50018	21064	14578	6485	9469		9432	16384	12238	4145	3991		3740	4680	2340	2340
122271	94	77588		50959	21036	14735	6300	9549		9512	16384	12409	3974	4083		3832	4652	2326	2326
123285	95	75738		49601	21062	14733	6329	9545		9508	16384	12394	3990	4099		3848	4678	2339	2339
124293	96	76485		50378	21029	14678	6350	9557		9520	16384	12355	4028	4099		3848	4645	2323	2322
125294	97	77572		51135	21030	14693	6336	9533		9496	16384	12370	4013	4111		3864	4646	2323	2323
126307	97	76843		50322	20997	14685	6311	9557		9520	16384	12378	4005	4039		3792	4613	2307	2306
127316	98	75701		49549	20998	14718	6279	9557		9520	16384	12411	3972	4031		3784	4614	2307	2307
128320	99	75808		49541	20997	14698	6298	9545		9508	16384	12391	3992	4035		3788	4613	2307	2306
129327	100	76760		50318	20998	14688	6309	9545		9508	16384	12381	4002	4047		3800	4614	2307	2307
130340	100	76855		50330	20997	14683	6313	9561		9524	16384	12376	4007	4043		3796	4613	2307	2306
131340	101	76452		50314	20997	14690	6306	9549		9512	16384	12383	4000	4039		3792	4613	2307	2306
132347	102	77508		51067	20997	14664	6332	9529		9492	16384	12357	4026	4047		3800	4613	2307	2306
133357	102	77076		50334	21034	14720	6313	9541		9504	16384	12395	3988	4067		3820	4650	2325	2325
134371	103	76683		50374	21036	14733	6302	9545		9508	16384	12407	3976	4103		3856	4652	2326	2326
135373	104	76470		50366	21034	14736	6297	9553		9516	16384	12411	3972	4087		3840	4650	2325	2325
136387	105	77590		51151	21030	14733	6296	9541		9504	16384	12410	3973	4119		3872	4646	2323	2323
137400	105	76115		49593	21029	14717	6311	9545		9508	16384	12394	3989	4087		3840	4645	2323	2322
138412	106	76518		50382	21029	14718	6310	9554		9516	16384	12395	3988	4103		3856	4645	2323	2322
139415	107	76494		50394	21029	14708	6320	9554		9516	16384	12385	3998	4115		3868	4645	2323	2322
140428	108	76832		50402	21030	14708	6321	9542		9504	16384	12385	3998	4135		3888	4646	2323	2323
141445	108	76069		49597	20997	14708	6288	9541		9504	16384	12401	3982	4095		3848	4613	2307	2306
