#time	step	rec_b	rec_bs	tra_b	tra_bs
3350	0	1583	1583	438	438
6571	1	207169292	207169292	34807887	34807887
7607	1	5977	5977	1254	1254
8660	2	6297	6297	6512	6512
9695	4	5290	5290	1675	1675
12877	6	66	66	66	66
13923	7	3593	3593	10984	10984
14969	8	7694	7694	8638	8638
16028	9	1691	1691	5366	5366
19220	12	72521	72521	5313	5313
21344	14	3224	3224	3346	3346
24503	17	171	171	171	171
25557	18	15743	15743	10257	10257
26602	19	35355	35355	13790	13790
27636	20	6983	6983	1256	1256
28687	21	40526	40526	14805	14805
29735	22	9497	9497	6713	6713
30780	23	4723	4723	4491	4491
31827	24	30725	30725	7201	7201
32888	25	132	132	136	136
35035	27	1056	1056	23831	23831
36087	28	3031	3031	144	144
37156	29	9118	9118	3588	3588
40303	32	1485	1485	1563	1563
46547	38	28264	28264	15937	15937
47609	39	6397	6397	19176	19176
48654	40	2536	2536	8640	8640
49732	41	4846	4846	5003	5003
50779	42	1553	1553	198	198
51824	43	7810	7810	3552	3552
54991	46	3916	3916	5838	5838
59194	50	42	42	42	42
61304	51	62501	62501	4694	4694
62347	52	9957	9957	474	474
63431	53	132	132	82	82
64527	54	0	0	6746	6746
65589	54	6029	6029	762	762
67720	58	7847	7847	5129	5129
68789	59	15476	15476	16253	16253
69861	59	19538	19538	4630	4630
70907	60	42587	42587	15124	15124
71974	61	17142	17142	6572	6572
73071	62	22570	22570	12825	12825
74148	62	27357	27357	5233	5233
75196	63	4185	4185	1187	1187
77317	65	4273	4273	24111	24111
79395	67	10803	10803	5293	5293
80466	68	1394	1394	2167	2167
82590	69	1392	1392	2544	2544
83658	70	374	374	66	66
84696	71	555	555	408	408
86808	73	97	97	66	66
87862	74	54	54	156	156
88989	74	66	66	66	66
92203	75	29667	29667	19537	19537
93286	76	10510	10510	7786	7786
94442	77	2333	2333	8500	8500
95530	77	8445	8445	12331	12331
96579	78	1390	1390	4909	4909
98701	80	229	229	3212	3212
99773	80	5721	5721	5838	5838
101958	81	42	42	42	42
103007	82	66	66	2743	2743
104059	83	45938	45938	2058	2058
105154	83	27856	27856	1278	1278
107350	84	2897	2897	3079	3079
108471	85	0	0	1152	1152
109538	86	826	826	1376	1376
110612	86	7649	7649	5248	5248
111699	87	12031	12031	12866	12866
112751	88	30697	30697	5778	5778
113820	89	14044	14044	9771	9771
114885	89	25007	25007	9406	9406
115960	90	17324	17324	7095	7095
117011	91	33986	33986	7537	7537
120212	93	1744	1744	3205	3205
121277	94	13383	13383	27683	27683
123410	95	330	330	1436	1436
124511	96	1412	1412	384	384
125560	97	19579	19579	8675	8675
126608	98	3738	3738	2851	2851
127661	98	1468	1468	6160	6160
131857	101	171	171	171	171
132950	102	1234	1234	1174	1174
134013	103	198	198	3430	3430
135074	104	3164	3164	210	210
136156	104	440	440	1544	1544
140396	108	105	105	171	171
141460	108	563	563	171	171
142510	109	0	0	284	284
143578	110	8479	8479	5848	5848
145835	111	170216	170216	18942	18942
146884	112	171	171	3837	3837
147934	112	864147	864147	47006	47006
148998	113	440	440	1485	1485
150062	114	863709	863709	53766	53766
151121	114	1229529	1229529	74359	74359
152203	115	885297	885297	50436	50436
153280	116	1051333	1051333	58604	58604
154358	116	1285309	1285309	73823	73823
155421	117	1106998	1106998	59361	59361
156485	118	264	264	202	202
158607	119	171	171	171	171
159655	120	69968	69968	4842	4842
160717	121	33644	33644	2175	2175
161788	121	1519839	1519839	95523	95523
162898	122	714842	714842	43744	43744
163979	123	1387537	1387537	85294	85294
165040	123	1680628	1680628	90771	90771
166134	124	632606	632606	33798	33798
170361	127	330	330	7612	7612
171424	127	2046	2046	132	132
175648	130	2119	2119	11121	11121
176694	131	501	501	831	831
177742	132	171	171	171	171
179865	134	213	213	213	213
186278	137	7234	7234	1118	1118
187373	137	1087	1087	983	983
188447	138	2787	2787	1039	1039
189525	138	9649	9649	2724	2724
191621	139	8309	8309	2645	2645
192675	140	2460	2460	1178	1178
194830	142	171	171	171	171
200103	146	0	0	489	489
201179	146	213	213	213	213
203311	148	374	374	1218	1218
206500	150	105	105	171	171
207552	151	171	171	171	171
209650	152	105	105	171	171
213860	155	0	0	326	326
214894	156	0	0	326	326
215953	157	369	369	1541	1541
217009	157	518	518	1218	1218
222317	161	276	276	342	342
224445	163	2450	2450	9829	9829
225507	164	2854	2854	10056	10056
226571	164	2619	2619	5932	5932
227623	165	1470	1470	4901	4901
229754	167	440	440	1218	1218
230804	168	105	105	171	171
231866	168	222	222	144	144
236073	171	0	0	79	79
237165	172	2442	2442	2990	2990
238217	173	66	66	66	66
239274	174	105	105	171	171
240336	174	156	156	132	132
242454	176	545	545	1389	1389
245696	178	78	78	241	241
246748	179	225	225	66	66
253111	183	171	171	171	171
254171	184	105	105	171	171
255220	185	374	374	1218	1218
257341	186	171	171	171	171
258394	187	489	489	396	396
261541	189	171	171	171	171
263650	191	42	42	42	42
266880	193	5949	5949	3322	3322
267926	194	880	880	3583	3583
268984	194	0	0	105	105
270053	195	105	105	66	66
272199	197	105	105	171	171
274355	198	831	831	66	66
276485	200	303	303	253	253
277539	200	60	60	0	0
278662	200	60	60	0	0
279803	201	60	60	0	0
281965	202	126	126	0	0
283089	202	231	231	171	171
284217	202	6978	6978	6028	6028
285279	203	374	374	1218	1218
286345	204	0	0	212	212
287405	204	1739	1739	3902	3902
288449	205	914	914	2213	2213
290555	207	10240	10240	6710	6710
291602	207	7246	7246	3758	3758
292680	208	0	0	986	986
293716	209	440	440	66	66
