protocol	local_address	foreign_address	begin_time	end_time	duration
tcp6	0.0.0.0:31000	0.0.0.0:0	2157	927972	925815
tcp6	192.168.1.100:44558	157.240.205.1:443	2157	119257	117100
tcp6	192.168.1.100:44538	157.240.205.1:443	2157	119257	117100
tcp6	192.168.1.100:37126	13.52.129.247:443	2157	119257	117100
tcp6	192.168.1.100:44492	157.240.205.1:443	2157	6714	4557
tcp6	192.168.1.100:44540	157.240.205.1:443	2157	6714	4557
tcp6	192.168.1.100:42342	54.177.39.110:443	2157	6714	4557
tcp6	192.168.1.100:44560	157.240.205.1:443	2157	6714	4557
tcp6	192.168.1.100:44490	157.240.205.1:443	2157	6714	4557
tcp6	192.168.1.100:44536	157.240.205.1:443	2157	6714	4557
tcp6	192.168.1.100:53878	216.58.209.206:443	2157	6714	4557
tcp6	192.168.1.100:44338	64.233.165.188:5228	2157	6714	4557
tcp6	192.168.1.100:44562	157.240.205.1:443	2157	6714	4557
udp6	0.0.0.0:31000	0.0.0.0:0	2157	936150	933993
tcp6	192.168.1.100:33186	52.232.209.85:443	7811	119257	111446
tcp6	192.168.1.100:44492	157.240.205.1:443	7811	72036	64225
tcp6	192.168.1.100:44540	157.240.205.1:443	7811	72036	64225
tcp6	192.168.1.100:42342	54.177.39.110:443	7811	72036	64225
tcp6	192.168.1.100:44560	157.240.205.1:443	7811	72036	64225
tcp6	192.168.1.100:44490	157.240.205.1:443	7811	72036	64225
tcp6	192.168.1.100:44536	157.240.205.1:443	7811	175333	167522
tcp6	192.168.1.100:53878	216.58.209.206:443	7811	72036	64225
tcp6	192.168.1.100:44338	64.233.165.188:5228	7811	72036	64225
tcp6	192.168.1.100:44562	157.240.205.1:443	7811	72036	64225
tcp6	192.168.1.100:44606	157.240.205.1:443	73197	119257	46060
tcp6	192.168.1.100:44492	157.240.205.1:443	73197	119257	46060
tcp6	192.168.1.100:44540	157.240.205.1:443	73197	175333	102136
tcp6	192.168.1.100:42342	54.177.39.110:443	73197	78945	5748
tcp6	192.168.1.100:44560	157.240.205.1:443	73197	175333	102136
tcp6	192.168.1.100:44490	157.240.205.1:443	73197	135358	62161
tcp6	192.168.1.100:44536	157.240.205.1:443	73197	185794	112597
tcp6	192.168.1.100:44610	157.240.205.1:443	73197	309637	236440
tcp6	192.168.1.100:44608	157.240.205.1:443	73197	302786	229589
tcp6	192.168.1.100:53878	216.58.209.206:443	73197	86870	13673
tcp6	192.168.1.100:44338	64.233.165.188:5228	73197	302786	229589
tcp6	192.168.1.100:44562	157.240.205.1:443	73197	175333	102136
tcp6	192.168.1.100:42404	54.177.39.110:443	80086	283013	202927
tcp6	192.168.1.100:44338	64.233.165.188:5228	88034	283013	194979
tcp6	192.168.1.100:44562	157.240.205.1:443	88034	119257	31223
tcp6	192.168.1.100:50316	184.50.193.58:443	120386	175333	54947
tcp6	192.168.1.100:44558	157.240.205.1:443	120386	175333	54947
tcp6	192.168.1.100:44538	157.240.205.1:443	120386	175333	54947
tcp6	192.168.1.100:37126	13.52.129.247:443	120386	175333	54947
tcp6	192.168.1.100:33186	52.232.209.85:443	120386	266181	145795
tcp6	192.168.1.100:44606	157.240.205.1:443	120386	266181	145795
tcp6	192.168.1.100:44492	157.240.205.1:443	120386	134201	13815
tcp6	192.168.1.100:44540	157.240.205.1:443	120386	188273	67887
tcp6	192.168.1.100:42404	54.177.39.110:443	120386	302786	182400
tcp6	192.168.1.100:44560	157.240.205.1:443	120386	212747	92361
tcp6	192.168.1.100:44490	157.240.205.1:443	120386	134201	13815
tcp6	192.168.1.100:44536	157.240.205.1:443	120386	188273	67887
tcp6	192.168.1.100:44610	157.240.205.1:443	120386	313342	192956
tcp6	192.168.1.100:44608	157.240.205.1:443	120386	309637	189251
tcp6	192.168.1.100:44642	157.240.205.1:443	124948	313342	188394
tcp6	192.168.1.100:44608	157.240.205.1:443	124948	313342	188394
tcp6	192.168.1.100:44640	157.240.205.1:443	124948	313342	188394
tcp6	192.168.1.100:44338	64.233.165.188:5228	124948	313342	188394
tcp6	192.168.1.100:44562	157.240.205.1:443	124948	188273	63325
tcp6	192.168.1.100:44638	157.240.205.1:443	124948	313342	188394
tcp6	192.168.1.100:44642	157.240.205.1:443	135358	309637	174279
tcp6	192.168.1.100:44640	157.240.205.1:443	135358	309637	174279
tcp6	192.168.1.100:44338	64.233.165.188:5228	135358	309637	174279
tcp6	192.168.1.100:44562	157.240.205.1:443	135358	212747	77389
tcp6	192.168.1.100:44638	157.240.205.1:443	135358	309637	174279
tcp6	192.168.1.100:44610	157.240.205.1:443	136496	302786	166290
tcp6	192.168.1.100:44642	157.240.205.1:443	136496	302786	166290
tcp6	192.168.1.100:44640	157.240.205.1:443	136496	302786	166290
tcp6	192.168.1.100:44638	157.240.205.1:443	136496	302786	166290
tcp6	0.0.0.0:30103	0.0.0.0:0	176490	871442	694952
tcp6	0.0.0.0:31000	0.0.0.0:0	176490	871442	694952
