#time	step	frames	fps	min_frame	max_frame	max_jank	avg_jank	layer
61342	51	41	41	0.000001	3.067154	0	0	.Gravity_detector#0
62559	52	66	66	0.000001	2.893230	0	0	.Gravity_detector#0
63717	53	49	49	0.000001	3.179384	0	0	.Gravity_detector#0
64952	54	66	66	0.000001	18.078923	1	0	.Gravity_detector#0
66036	54	60	60	0.000001	21.036307	1	0	.Gravity_detector#0
67071	57	0	0	0.000000	0.000000	0	0	
68290	58	66	66	0.000001	23.236000	1	0	.Gravity_detector#0
69427	59	60	60	0.000001	23.205154	1	0	.Gravity_detector#0
70488	60	59	59	0.000001	29.876308	1	0	.Gravity_detector#0
71630	61	62	62	0.472154	23.774846	1	0	.Gravity_detector#0
72791	61	64	64	0.000001	23.608000	1	0	.Gravity_detector#0
73939	62	61	61	0.000001	24.506231	1	0	.Gravity_detector#0
75061	63	61	61	0.000001	6.152077	0	0	.Gravity_detector#0
76267	64	63	63	0.000001	23.666077	1	0	.Gravity_detector#0
77320	65	59	59	0.000001	23.885615	1	0	.Gravity_detector#0
78355	65	58	58	0.000001	6.414923	0	0	.Gravity_detector#0
79462	66	60	60	0.778769	24.183385	1	0	.Gravity_detector#0
80516	67	58	58	1.298154	23.342153	1	0	.Gravity_detector#0
81612	68	61	61	0.000001	23.485539	1	0	.Gravity_detector#0
82753	69	63	63	0.000001	23.544231	1	0	.Gravity_detector#0
83803	70	59	59	0.000001	6.838923	0	0	.Gravity_detector#0
84857	71	58	58	1.942077	23.300000	1	0	.Gravity_detector#0
85971	72	61	61	0.000001	26.382154	1	0	.Gravity_detector#0
87156	73	65	65	0.000001	21.978461	1	0	.Gravity_detector#0
88518	74	71	71	0.000001	23.132231	1	0	.Gravity_detector#0
89674	74	64	64	0.000001	6.064385	0	0	.Gravity_detector#0
90892	75	66	66	0.000001	6.420615	0	0	.Gravity_detector#0
92201	75	69	69	0.000001	27.253230	1	0	.Gravity_detector#0
93397	76	62	62	0.000001	22.020000	1	0	.Gravity_detector#0
94603	76	62	62	0.000001	21.888692	1	0	.Gravity_detector#0
95738	77	64	64	0.000001	23.253000	1	0	.Gravity_detector#0
96892	78	64	64	0.918154	23.178769	1	0	.Gravity_detector#0
98061	79	65	65	0.000001	23.181538	1	0	.Gravity_detector#0
99358	80	71	71	0.000001	25.321538	1	0	.Gravity_detector#0
100603	80	69	69	0.000001	22.260231	1	0	.Gravity_detector#0
101712	81	56	56	0.000001	25.443769	1	0	.Gravity_detector#0
102795	82	60	60	0.000001	27.618308	1	0	.Gravity_detector#0
103954	83	62	62	0.000001	23.224462	1	0	.Gravity_detector#0
105127	83	64	64	0.000001	23.520923	1	0	.Gravity_detector#0
106345	84	66	66	0.000001	23.360923	1	0	.Gravity_detector#0
107526	84	63	63	0.000001	23.441231	1	0	.Gravity_detector#0
108691	85	63	63	1.381462	23.195923	1	0	.Gravity_detector#0
109867	86	61	61	0.000001	22.816154	1	0	.Gravity_detector#0
110964	86	61	61	0.000001	22.716077	1	0	.Gravity_detector#0
112094	87	63	63	0.000001	25.129385	1	0	.Gravity_detector#0
113244	88	61	61	0.000001	22.846000	1	0	.Gravity_detector#0
114438	89	64	64	0.000001	23.373231	1	0	.Gravity_detector#0
115635	90	63	63	0.000001	23.420000	1	0	.Gravity_detector#0
116727	90	59	59	0.000001	20.423769	1	0	.Gravity_detector#0
117841	91	63	63	0.790462	29.014307	1	0	.Gravity_detector#0
119034	92	64	64	0.000001	23.465308	1	0	.Gravity_detector#0
120104	93	0	0	0.000000	0.000000	0	0	
122547	94	68	68	0.000001	22.966153	1	0	.Gravity_detector#0
123665	95	0	0	0.000000	0.000000	0	0	
124718	96	59	59	0.322000	22.559231	1	0	.Gravity_detector#0
125811	97	60	60	0.000001	22.154461	1	0	.Gravity_detector#0
126922	98	61	61	1.088692	23.491231	1	0	.Gravity_detector#0
127993	98	60	60	1.632692	27.911231	1	0	.Gravity_detector#0
129091	99	60	60	0.000001	24.260077	1	0	.Gravity_detector#0
130176	100	59	59	0.000001	11.832231	0	0	.Gravity_detector#0
131272	101	63	63	0.000001	6.189539	0	0	.Gravity_detector#0
132346	102	59	59	0.000001	7.560385	0	0	.Gravity_detector#0
133486	102	64	64	0.059692	22.701538	1	0	.Gravity_detector#0
134655	103	67	67	0.000001	5.729615	0	0	.Gravity_detector#0
135754	104	56	56	0.000001	22.855077	1	0	.Gravity_detector#0
136826	105	59	59	0.000001	23.598077	1	0	.Gravity_detector#0
137934	106	61	61	1.127693	23.149154	1	0	.Gravity_detector#0
139049	106	60	60	0.469000	24.674769	1	0	.Gravity_detector#0
140136	107	61	61	0.021000	7.106769	0	0	.Gravity_detector#0
141322	108	65	65	0.000001	23.675154	1	0	.Gravity_detector#0
142449	109	62	62	2.237307	23.600077	1	0	.Gravity_detector#0
143702	110	69	69	0.000001	30.282769	1	0	.Gravity_detector#0
144977	110	69	69	0.000001	23.044615	1	0	.Gravity_detector#0
146104	111	54	54	0.000001	21.615230	1	0	.Gravity_detector#0
147233	112	62	62	0.000001	6.302615	0	0	.Gravity_detector#0
148423	112	65	65	0.000001	22.088846	1	0	.Gravity_detector#0
149487	113	57	57	0.000001	23.614384	1	0	.Gravity_detector#0
150646	114	63	63	0.000001	7.740230	0	0	.Gravity_detector#0
151851	115	68	68	0.000001	23.451923	1	0	.Gravity_detector#0
152985	115	57	57	0.000001	23.319923	1	0	.Gravity_detector#0
154079	116	60	60	0.000001	23.634692	1	0	.Gravity_detector#0
155258	117	64	64	0.000001	23.450770	1	0	.Gravity_detector#0
156392	118	62	62	0.000001	23.225616	1	0	.Gravity_detector#0
157470	118	61	61	0.000001	6.869615	0	0	.Gravity_detector#0
158548	119	60	60	0.000001	6.204230	0	0	.Gravity_detector#0
159628	120	61	61	0.000001	5.954462	0	0	.Gravity_detector#0
160907	121	70	70	0.000001	23.556231	1	0	.Gravity_detector#0
162156	121	66	66	0.000001	24.933154	1	0	.Gravity_detector#0
163313	122	60	60	0.000001	23.470384	1	0	.Gravity_detector#0
164456	123	64	64	0.000001	23.083462	1	0	.Gravity_detector#0
165576	123	62	62	0.000001	22.837461	1	0	.Gravity_detector#0
166667	124	59	59	0.000001	23.321924	1	0	.Gravity_detector#0
167746	125	60	60	0.000001	23.085924	1	0	.Gravity_detector#0
168927	126	63	63	0.000001	24.412462	1	0	.Gravity_detector#0
170070	126	60	60	0.000001	20.881538	1	0	.Gravity_detector#0
171162	127	61	61	0.000001	7.834385	0	0	.Gravity_detector#0
172297	128	63	63	0.000001	22.229923	1	0	.Gravity_detector#0
173401	129	61	61	0.000001	23.774693	1	0	.Gravity_detector#0
174538	130	63	63	0.000001	27.979539	1	0	.Gravity_detector#0
175604	130	58	58	0.000001	22.869077	1	0	.Gravity_detector#0
176700	131	60	60	0.000001	23.036154	1	0	.Gravity_detector#0
177760	132	59	59	0.000001	22.894000	1	0	.Gravity_detector#0
178823	133	59	59	1.666154	22.926693	1	0	.Gravity_detector#0
179900	133	59	59	2.618692	23.812384	1	0	.Gravity_detector#0
181023	134	61	61	0.000001	28.819000	1	0	.Gravity_detector#0
182139	135	58	58	0.000001	22.389154	1	0	.Gravity_detector#0
183361	136	66	66	0.000001	21.479000	1	0	.Gravity_detector#0
184526	136	57	57	0.000001	7.884539	0	0	.Gravity_detector#0
185595	137	57	57	0.000001	22.627538	1	0	.Gravity_detector#0
186845	137	63	63	0.000001	37.918230	2	0	.Gravity_detector#0
188214	138	73	73	0.000001	22.733923	1	0	.Gravity_detector#0
189407	138	63	63	0.000001	19.230846	1	0	.Gravity_detector#0
190535	139	60	60	0.000001	6.022692	0	0	.Gravity_detector#0
191639	139	61	61	0.000001	6.281692	0	0	.Gravity_detector#0
192787	140	63	63	0.000001	23.243308	1	0	.Gravity_detector#0
193851	141	58	58	0.000001	24.229462	1	0	.Gravity_detector#0
194902	141	57	57	0.000001	23.721923	1	0	.Gravity_detector#0
196012	142	61	61	0.000001	23.920692	1	0	.Gravity_detector#0
197090	143	58	58	0.000001	24.349846	1	0	.Gravity_detector#0
198248	144	63	63	0.000001	5.144077	0	0	.Gravity_detector#0
199293	145	0	0	0.000000	0.000000	0	0	
201449	146	60	60	0.000001	23.018462	1	0	.Gravity_detector#0
202586	147	60	60	0.000001	6.061769	0	0	.Gravity_detector#0
203674	148	61	61	0.000001	5.635385	0	0	.Gravity_detector#0
204770	149	60	60	0.000001	22.885538	1	0	.Gravity_detector#0
205842	150	59	59	0.000001	6.735923	0	0	.Gravity_detector#0
